combo_key,coupling_mode,cleavage_form,strain_pct,clearance_time_mean,clearance_time_std,clearance_time_ci95,n_ruptured_mean,lysis_fraction_mean,cascade_count_mean,n_cleared,n_runs
inhibitory_x_linear,inhibitory,linear,25,11.792362319575293,8.032963585009348,6.057275370925013,157.0,0.31399999999999995,60.7,10,10
inhibitory_x_linear,inhibitory,linear,30,15.048346667399747,7.1757022198470315,5.410855391711674,176.6,0.3532,48.6,10,10
inhibitory_x_linear,inhibitory,linear,40,0.5219297671457647,0.8994595267209287,0.6782396036897022,177.1,0.35419999999999996,172.9,10,10
inhibitory_x_linear,inhibitory,linear,60,0.16688097758888754,0.15315088621439696,0.11548379141578373,283.7,0.5673999999999999,282.7,10,10
inhibitory_x_linear,inhibitory,linear,80,0.13782144161547655,0.12019408088584835,0.09063263366952892,314.3,0.6286000000000002,313.3,10,10
inhibitory_x_linear,inhibitory,linear,100,0.25194899907130397,0.18218516683663707,0.13737716004175587,340.8,0.6816000000000001,339.8,10,10
neutral_x_constant,neutral,constant,0,22.449967351782643,9.484144908110176,7.151542112475889,202.7,0.40540000000000004,0.3,10,10
neutral_x_constant,neutral,constant,5,21.395306881966853,9.53717453876476,7.191529232085481,195.5,0.39099999999999996,0.8,10,10
neutral_x_constant,neutral,constant,10,21.44215440866005,10.336509015097484,7.794269302469581,196.1,0.3922,2.2,10,10
neutral_x_constant,neutral,constant,15,22.127454220212137,8.18484979696934,6.171805531699705,198.1,0.39620000000000005,3.6,10,10
neutral_x_constant,neutral,constant,20,21.10218698622061,3.546748480581243,2.674434160062917,205.8,0.4116000000000001,8.0,10,10
neutral_x_constant,neutral,constant,23,10.577325975240074,3.781970751032269,2.851804074717448,145.9,0.2918,40.2,10,10
neutral_x_constant,neutral,constant,25,12.681021937268838,5.115980101219779,3.8577170103311205,175.6,0.3512,64.4,10,10
neutral_x_constant,neutral,constant,30,6.903469445816441,10.1844560693745,7.67961341570281,98.8,0.1976,33.9,10,10
neutral_x_constant,neutral,constant,40,2.7175935473772226,6.451032703786924,4.864416612892545,174.8,0.3496,152.8,10,10
neutral_x_constant,neutral,constant,60,0.10073627193293999,0.04974781008310127,0.037512454971930974,283.2,0.5664,282.2,10,10
neutral_x_constant,neutral,constant,80,0.10073627193293999,0.04974781008310127,0.037512454971930974,312.2,0.6244,311.2,10,10
neutral_x_constant,neutral,constant,100,0.10073627193293999,0.04974781008310127,0.037512454971930974,340.1,0.6802,339.1,10,10
neutral_x_exponential,neutral,exponential,0,22.449967351782643,9.484144908110176,7.151542112475889,202.7,0.40540000000000004,0.3,10,10
neutral_x_exponential,neutral,exponential,5,21.395306881966853,9.53717453876476,7.191529232085481,195.5,0.39099999999999996,0.8,10,10
neutral_x_exponential,neutral,exponential,10,21.44215440866005,10.336509015097484,7.794269302469581,196.1,0.3922,2.2,10,10
neutral_x_exponential,neutral,exponential,15,22.127454220212137,8.18484979696934,6.171805531699705,198.1,0.39620000000000005,3.6,10,10
neutral_x_exponential,neutral,exponential,20,21.10218698622061,3.546748480581243,2.674434160062917,205.8,0.4116000000000001,8.0,10,10
neutral_x_exponential,neutral,exponential,23,10.577325975240074,3.781970751032269,2.851804074717448,145.9,0.2918,40.2,10,10
neutral_x_exponential,neutral,exponential,25,12.681021937268838,5.115980101219779,3.8577170103311205,175.6,0.3512,64.4,10,10
neutral_x_exponential,neutral,exponential,30,6.903469445816441,10.1844560693745,7.67961341570281,98.8,0.1976,33.9,10,10
neutral_x_exponential,neutral,exponential,40,2.7175935473772226,6.451032703786924,4.864416612892545,174.8,0.3496,152.8,10,10
neutral_x_exponential,neutral,exponential,60,0.10073627193293999,0.04974781008310127,0.037512454971930974,283.2,0.5664,282.2,10,10
neutral_x_exponential,neutral,exponential,80,0.10073627193293999,0.04974781008310127,0.037512454971930974,312.2,0.6244,311.2,10,10
neutral_x_exponential,neutral,exponential,100,0.10073627193293999,0.04974781008310127,0.037512454971930974,340.1,0.6802,339.1,10,10
neutral_x_linear,neutral,linear,0,22.449967351782643,9.484144908110176,7.151542112475889,202.7,0.40540000000000004,0.3,10,10
neutral_x_linear,neutral,linear,5,21.395306881966853,9.53717453876476,7.191529232085481,195.5,0.39099999999999996,0.8,10,10
neutral_x_linear,neutral,linear,10,21.44215440866005,10.336509015097484,7.794269302469581,196.1,0.3922,2.2,10,10
neutral_x_linear,neutral,linear,15,22.127454220212137,8.18484979696934,6.171805531699705,198.1,0.39620000000000005,3.6,10,10
neutral_x_linear,neutral,linear,20,21.10218698622061,3.546748480581243,2.674434160062917,205.8,0.41159999999999997,8.0,10,10
neutral_x_linear,neutral,linear,23,10.577325975240074,3.781970751032269,2.851804074717448,145.9,0.2918,40.2,10,10
neutral_x_linear,neutral,linear,25,12.681021937268838,5.115980101219779,3.8577170103311205,175.6,0.3512,64.4,10,10
neutral_x_linear,neutral,linear,30,6.903469445816441,10.1844560693745,7.67961341570281,98.8,0.1976,33.9,10,10
neutral_x_linear,neutral,linear,40,2.7175935473772226,6.451032703786924,4.864416612892545,174.8,0.3496,152.8,10,10
neutral_x_linear,neutral,linear,60,0.10073627193293999,0.04974781008310127,0.037512454971930974,283.2,0.5664,282.2,10,10
neutral_x_linear,neutral,linear,80,0.10073627193293999,0.04974781008310127,0.037512454971930974,312.2,0.6244,311.2,10,10
neutral_x_linear,neutral,linear,100,0.10073627193293999,0.04974781008310127,0.037512454971930974,340.1,0.6802000000000001,339.1,10,10
