strain_pct,seed,clearance_time,n_ruptured,lysis_fraction,mean_fiber_strain_initial,n_fragile_initial,n_total,reason,wall_s
20,12,35.039244816351804,210,0.418,0.31292606050330374,9,500,network_cleared,4.6096718311309814
20,13,40.38499895798094,237,0.472,0.31292606050330374,9,500,network_cleared,5.225409269332886
20,14,46.598810761819834,282,0.562,0.31292606050330374,9,500,network_cleared,6.061378717422485
22,0,46.6701554855024,261,0.52,0.3213882439760042,9,500,network_cleared,5.592859506607056
22,1,24.22002099599984,157,0.312,0.3213882439760042,9,500,network_cleared,3.5205612182617188
22,2,43.08844837529039,247,0.492,0.3213882439760042,9,500,network_cleared,5.33480167388916
22,3,30.258437953113074,208,0.414,0.3213882439760042,9,500,network_cleared,4.568600654602051
22,4,43.134306389427394,246,0.49,0.3213882439760042,9,500,network_cleared,5.453731536865234
22,5,50.50481893880075,276,0.55,0.3213882439760042,9,500,network_cleared,5.940921306610107
22,6,32.07507240231715,219,0.436,0.3213882439760042,9,500,network_cleared,4.800825357437134
22,7,53.4256984956356,280,0.558,0.3213882439760042,9,500,network_cleared,5.961641550064087
22,8,42.84617715373225,241,0.48,0.3213882439760042,9,500,network_cleared,5.152939796447754
22,9,56.221010105045536,296,0.59,0.3213882439760042,9,500,network_cleared,6.292574167251587
22,10,38.26037674411621,248,0.494,0.3213882439760042,9,500,network_cleared,5.450892448425293
22,11,39.87986659456192,235,0.468,0.3213882439760042,9,500,network_cleared,5.059434652328491
22,12,34.19007722931996,214,0.426,0.3213882439760042,9,500,network_cleared,4.659313678741455
22,13,38.98188532142129,241,0.48,0.3213882439760042,9,500,network_cleared,5.213624477386475
22,14,28.059019327720865,171,0.34,0.3213882439760042,9,500,network_cleared,3.7838785648345947
23,0,46.67429079649952,261,0.52,0.32562109765550573,9,500,network_cleared,5.5891571044921875
23,1,42.66154926787377,243,0.484,0.32562109765550573,9,500,network_cleared,5.3507866859436035
23,2,41.59293098782662,253,0.504,0.32562109765550573,9,500,network_cleared,5.470709323883057
23,3,42.02949871350228,244,0.486,0.32562109765550573,9,500,network_cleared,5.2551023960113525
23,4,45.241237546019455,257,0.512,0.32562109765550573,9,500,network_cleared,5.532672643661499
23,5,50.50893132578413,276,0.55,0.32562109765550573,9,500,network_cleared,5.975480079650879
23,6,32.07776544716125,219,0.436,0.32562109765550573,9,500,network_cleared,4.913353204727173
23,7,44.72839041567982,258,0.514,0.32562109765550573,9,500,network_cleared,5.538081407546997
23,8,42.85013126110126,241,0.48,0.32562109765550573,9,500,network_cleared,5.2392778396606445
23,9,56.22688506722381,296,0.59,0.32562109765550573,9,500,network_cleared,6.286720037460327
23,10,47.98639661698527,280,0.558,0.32562109765550573,9,500,network_cleared,6.002301931381226
23,11,39.88337808186089,235,0.468,0.32562109765550573,9,500,network_cleared,5.120596885681152
23,12,34.19296267411557,214,0.426,0.32562109765550573,9,500,network_cleared,4.691734075546265
23,13,38.98534374088238,241,0.48,0.32562109765550573,9,500,network_cleared,5.2093775272369385
23,14,28.06130215633771,171,0.34,0.32562109765550573,9,500,network_cleared,3.8014910221099854
25,0,46.68079199004658,261,0.52,0.3340897305745528,9,500,network_cleared,5.6201417446136475
25,1,39.126127452445964,232,0.462,0.3340897305745528,9,500,network_cleared,5.050922393798828
25,2,41.598975612908895,253,0.504,0.3340897305745528,9,500,network_cleared,5.477065086364746
25,3,42.035694858850476,244,0.486,0.3340897305745528,9,500,network_cleared,5.311222791671753
25,4,27.538107471853447,178,0.354,0.3340897305745528,9,500,network_cleared,3.909135580062866
25,5,50.51535875172319,276,0.55,0.3340897305745528,9,500,network_cleared,5.91772985458374
25,6,32.0819990962793,219,0.436,0.3340897305745528,9,500,network_cleared,4.834197521209717
25,7,44.839734316240055,268,0.534,0.3340897305745528,9,500,network_cleared,5.770622491836548
25,8,42.85634749016986,241,0.48,0.3340897305745528,9,500,network_cleared,5.265832185745239
25,9,56.23612150329157,296,0.59,0.3340897305745528,9,500,network_cleared,6.28265118598938
25,10,29.973807562136727,204,0.406,0.3340897305745528,9,500,network_cleared,4.39725661277771
25,11,39.88889844205528,235,0.468,0.3340897305745528,9,500,network_cleared,5.03033185005188
25,12,34.197498793881486,214,0.426,0.3340897305745528,9,500,network_cleared,4.651850700378418
25,13,38.99078068798996,241,0.48,0.3340897305745528,9,500,network_cleared,5.1953887939453125
25,14,28.064890857725974,171,0.34,0.3340897305745528,9,500,network_cleared,3.824970006942749
28,0,45.126800145761095,261,0.52,0.34679864208690103,9,500,network_cleared,5.639775276184082
28,1,39.131702676979835,232,0.462,0.34679864208690103,9,500,network_cleared,4.990878105163574
28,2,35.7374324649613,218,0.434,0.34679864208690103,9,500,network_cleared,4.705742120742798
28,3,42.54036962295351,245,0.488,0.34679864208690103,9,500,network_cleared,5.277738332748413
28,4,27.54171115976234,178,0.354,0.34679864208690103,9,500,network_cleared,3.908620595932007
28,5,50.52176872406258,276,0.55,0.34679864208690103,9,500,network_cleared,6.017107963562012
28,6,41.39943531975307,232,0.462,0.34679864208690103,9,500,network_cleared,5.083083391189575
28,7,44.84659484713326,268,0.534,0.34679864208690103,9,500,network_cleared,5.756847620010376
28,8,42.862607015889694,241,0.48,0.34679864208690103,9,500,network_cleared,5.735701322555542
28,9,45.156441887827405,257,0.512,0.34679864208690103,9,500,network_cleared,5.634475946426392
28,10,42.1560202593061,254,0.506,0.34679864208690103,9,500,network_cleared,5.494597434997559
28,11,27.735557901227555,182,0.362,0.34679864208690103,9,500,network_cleared,4.158722639083862
28,12,34.202066420317216,214,0.426,0.34679864208690103,9,500,network_cleared,4.701804876327515
28,13,36.38541661542697,220,0.438,0.34679864208690103,9,500,network_cleared,4.8113625049591064
28,14,28.068504406387092,171,0.34,0.34679864208690103,9,500,network_cleared,3.7939889430999756
30,0,46.44291549786238,256,0.51,0.3552744175153913,9,500,network_cleared,5.560149669647217
30,1,39.134178911603925,232,0.462,0.3552744175153913,9,500,network_cleared,5.028723239898682
30,2,35.73962386707231,218,0.434,0.3552744175153913,9,500,network_cleared,4.827221870422363
